City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Abay,KZ,49.6311,72.8539,30.58,67,68,23.26,broken clouds
250,Leh,IN,34.1667,77.5833,25.23,62,94,3.4,overcast clouds
251,Del Pilar,PH,15.0333,120.7,80.37,84,91,4.03,overcast clouds
252,Outjo,NA,-20.1167,16.15,73.53,12,6,12.35,clear sky
253,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,85,100,17.72,overcast clouds
254,Tilichiki,RU,60.4667,166.1,18.95,93,100,6.51,overcast clouds
255,Molteno,ZA,-31.3968,26.3625,51.71,81,45,14.88,scattered clouds
256,Urdoma,RU,61.7533,48.5442,21.43,81,100,14.56,overcast clouds
257,Melilla,ES,35.2937,-2.9383,66.58,82,20,3.44,few clouds
258,Nouadhibou,MR,20.931,-17.0347,69.78,88,0,13.8,clear sky
259,Lethem,GY,3.3803,-59.7968,87.35,63,82,2.86,broken clouds
260,Lakes Entrance,AU,-37.8811,147.981,57.16,88,7,8.21,clear sky
261,Kieta,PG,-6.2167,155.6333,80.04,83,81,5.12,broken clouds
262,Asau,RO,46.4333,26.4,38.32,61,5,2.13,clear sky
263,Torbay,CA,47.6666,-52.7314,37.76,91,75,6.91,light shower sleet
264,Tasiilaq,GL,65.6145,-37.6368,46.56,57,100,28.66,overcast clouds
265,Eydhafushi,MV,5.1033,73.0708,81.05,76,95,8.28,overcast clouds
266,Svetlaya,RU,46.5389,138.3297,24.53,79,5,7.38,clear sky
267,Soverato,IT,38.685,16.5499,59.16,88,98,1.14,overcast clouds
268,Talnakh,RU,69.4865,88.3972,-23.6,85,81,4.7,broken clouds
269,Esmeraldas,BR,-19.7625,-44.3139,89.71,53,100,5.3,overcast clouds
270,Taoudenni,ML,22.6783,-3.9836,81.1,14,77,12.71,broken clouds
271,Kaeo,NZ,-35.1,173.7833,58.44,82,10,5.03,clear sky
272,Cap-Aux-Meules,CA,47.3821,-61.8597,44.65,81,100,10.36,overcast clouds
273,Poum,NC,-20.2333,164.0167,75.85,81,66,7.09,broken clouds
274,Port Victoria,KE,0.0939,33.9756,69.67,80,99,4.45,light rain
275,Northam,GB,51.0333,-4.2167,57.61,91,100,13.22,overcast clouds
276,Russell,US,32.3502,-85.1999,52.75,40,0,9.22,clear sky
277,Bambous Virieux,MU,-20.3428,57.7575,72.21,78,20,3.44,few clouds
278,Isangel,VU,-19.55,169.2667,77.83,83,0,5.82,clear sky
279,Dingle,PH,10.9995,122.6711,75.9,93,78,7.0,broken clouds
280,Barwala,IN,29.3833,75.9167,68.4,23,22,3.36,few clouds
281,Hovd,MN,48.0056,91.6419,28.0,45,100,5.41,overcast clouds
282,Pajapan,MX,18.25,-94.7,69.96,85,89,9.78,light rain
283,Geraldton,AU,-28.7667,114.6,55.81,76,3,11.5,clear sky
284,Bandarbeyla,SO,9.4942,50.8122,79.16,73,8,16.98,clear sky
285,Souillac,MU,-20.5167,57.5167,70.18,78,20,3.44,few clouds
286,Cherdyn,RU,60.403,56.4787,22.03,83,96,7.4,overcast clouds
287,Gloucester,GB,51.8657,-2.2431,55.98,88,7,5.99,clear sky
288,Faanui,PF,-16.4833,-151.75,75.13,71,100,4.81,overcast clouds
289,Salalah,OM,17.0151,54.0924,78.89,73,20,4.61,few clouds
290,Sobolevo,RU,54.4299,31.8996,42.37,70,100,13.44,overcast clouds
291,Nanakuli,US,21.3906,-158.1547,79.45,69,40,9.22,scattered clouds
292,Maldonado,UY,-34.6667,-54.9167,73.22,75,100,12.57,overcast clouds
